"Granule Name","Platform","Sensor","Beam Mode","Beam Mode Description","Orbit","Path Number","Frame Number","Acquisition Date","Processing Date","Processing Level","Start Time","End Time","Center Lat","Center Lon","Near Start Lat","Near Start Lon","Far Start Lat","Far Start Lon","Near End Lat","Near End Lon","Far End Lat","Far End Lon","Faraday Rotation","Ascending or Descending?","URL","Size (MB)","Off Nadir Angle","Stack Size","Doppler","GroupID","Pointing Angle","TemporalBaseline","PerpendicularBaseline","relativeBurstID","absoluteBurstID","fullBurstID","burstIndex","azimuthTime","azimuthAnxTime","samplesPerBurst","subswath"
"S1A_IW_GRDH_1SDH_20240215T083754_20240215T083819_052567_065BCD_3252","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","52567","170","354","2024-02-15T08:38:19.997725Z","2024-02-15T08:37:54Z","GRD_HD","2024-02-15T08:37:54Z","2024-02-15T08:38:19Z","71.325","-28.819","71.7491","-24.711594","72.304115","-31.937138","70.294174","-26.021006","70.822433","-32.740314","","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDH_20240215T083754_20240215T083819_052567_065BCD_3252.zip","1634.8599081039429","","","0","S1A_IWDH_0353_0360_052567_170","","","","","","","","","","",""
"S1A_IW_GRDH_1SDH_20240203T083755_20240203T083820_052392_0655E4_14FC","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","52392","170","354","2024-02-03T08:38:20.238022Z","2024-02-03T08:37:55Z","GRD_HD","2024-02-03T08:37:55Z","2024-02-03T08:38:20Z","71.325","-28.8183","71.749046","-24.7108","72.304085","-31.936607","70.294121","-26.020247","70.822403","-32.739799","","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDH_20240203T083755_20240203T083820_052392_0655E4_14FC.zip","1634.9217948913574","","","0","S1A_IWDH_0353_0360_052392_170","","","","","","","","","","",""
